cheater1_rank,cheater1_username,cheater1_submission_id,cheater2_rank,cheater2_username,cheater2_submission_id,similarity_percentage
2,https://leetcode.com/u/_kevinyang,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327903315,3260,https://leetcode.com/u/sandeep8381,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327916982,77
3,https://leetcode.com/u/nikatamliani1,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327896726,4082,https://leetcode.com/u/sunnypriyadarshi81,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327936952,62
4,https://leetcode.com/u/colicon,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327901103,8421,https://leetcode.com/u/lolermeister,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327979229,100
15,https://leetcode.com/u/uwi,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327907633,6394,https://leetcode.com/u/ChinRiku,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327966752,57
16,https://leetcode.com/u/Yawn_Sean,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327897581,3953,https://leetcode.com/u/arunpranavat,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327934581,51
18,https://leetcode.com/u/green_pig,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327896562,3319,https://leetcode.com/u/yeutong,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327919562,65
21,https://leetcode.com/u/megurine,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327905872,3812,https://leetcode.com/u/liketheflower,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327932121,74
24,https://leetcode.com/u/vonrong,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327914408,3121,https://leetcode.com/u/sshang,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327907213,77
25,https://leetcode.com/u/guddusingh123,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327905631,2689,https://leetcode.com/u/ptriptir,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327935326,81
31,https://leetcode.com/u/OTTFF,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327902329,4349,https://leetcode.com/u/hrishavkmr,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327941205,68
34,https://leetcode.com/u/raincoat911,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327900160,3834,https://leetcode.com/u/vignankota9,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327932447,53
36,https://leetcode.com/u/MvKaio,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327896851,4432,https://leetcode.com/u/p__t,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327933359,70
45,https://leetcode.com/u/ksit,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327898086,6521,https://leetcode.com/u/clutchnuub21,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327942883,76
49,https://leetcode.com/u/profchi,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327902900,8158,https://leetcode.com/u/lyx200,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327989805,73
50,https://leetcode.com/u/liang5,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327903219,6000,https://leetcode.com/u/ErinLai,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327929302,77
51,https://leetcode.com/u/Zellon,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327923010,6852,https://leetcode.com/u/ShashankShekhar564,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327972333,86
55,https://leetcode.com/u/Cipher_07,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327903458,6114,https://leetcode.com/u/sm_21,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327955709,100
59,https://leetcode.com/u/choon_hean,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327913550,6290,https://leetcode.com/u/Sezan07,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327965635,67
70,https://leetcode.com/u/__Beginner_,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327913599,8308,https://leetcode.com/u/Master_KPK,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327984880,70
71,https://leetcode.com/u/clairesworld111,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327909337,7364,https://leetcode.com/u/Ankit991,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327964000,57
77,https://leetcode.com/u/Sandeep_P,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327906141,8421,https://leetcode.com/u/lolermeister,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327979229,88
89,https://leetcode.com/u/Lelouch_Britannia,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327911045,9271,https://leetcode.com/u/pariswati1103,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1328006299,74
104,https://leetcode.com/u/hlp2599,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327911974,3823,https://leetcode.com/u/TulasiRaj,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327922840,60
105,https://leetcode.com/u/CAEL0,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327901628,1672,https://leetcode.com/u/HiteshGupta20,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327967778,84
107,https://leetcode.com/u/rejudge_thiz,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327903136,1493,https://leetcode.com/u/abhishekharkar,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327913759,65
110,https://leetcode.com/u/azhan0222,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327907934,4048,https://leetcode.com/u/Whirling1001,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327936362,62
111,https://leetcode.com/u/fuad720,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327906122,1610,https://leetcode.com/u/Chandrachur,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327942983,62
112,https://leetcode.com/u/lucky_ducky1,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327912677,1361,https://leetcode.com/u/pascalstriangle,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327921416,57
114,https://leetcode.com/u/thesycat,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327906074,11510,https://leetcode.com/u/a85547219,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327952739,53
115,https://leetcode.com/u/vassu118,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327898401,1306,https://leetcode.com/u/Gaurav_7_Yadav,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327928013,56
117,https://leetcode.com/u/phungtienminh,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327898652,1763,https://leetcode.com/u/Swift1989,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327918280,78
119,https://leetcode.com/u/JavOliva,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327902063,1376,https://leetcode.com/u/avish00,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327912060,86
122,https://leetcode.com/u/ASHLER66,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327905343,1492,https://leetcode.com/u/shishirkushwah,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327912821,56
125,https://leetcode.com/u/qqwrv,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327909903,1334,https://leetcode.com/u/ansull,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327946458,55
126,https://leetcode.com/u/user2271Y,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327910861,4157,https://leetcode.com/u/2003jzhou,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327937981,100
130,https://leetcode.com/u/lozy219,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327910472,1603,https://leetcode.com/u/venkatasaikarthik2006,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327952028,70
133,https://leetcode.com/u/zaforf,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327934964,1904,https://leetcode.com/u/anhlinh123,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327953463,73
138,https://leetcode.com/u/AritroSaha,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327922691,1433,https://leetcode.com/u/qn68,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327944250,100
144,https://leetcode.com/u/scanhex,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327920570,2017,https://leetcode.com/u/anonymous2511,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327950612,62
145,https://leetcode.com/u/FFiona,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327917663,2575,https://leetcode.com/u/ShubhAg21,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327933333,53
150,https://leetcode.com/u/HIRE_ME_GOOGLE,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327906772,1757,https://leetcode.com/u/hurryhao,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327934133,65
